1068418322,AileronAltitudeEfficiency,3549092084
1516742369,BasicSystemsElementIndustryEfficiency,3549092084
1784653825,ImprovedSurfaceHarvestingOptimization,3549092084
801021206,LargeLaserManeuveringHandling,3549092084
1465297380,LargeMissileAction,3549092084
605976795,MediumLaserMagazineHandling,3549092084
2923791559,CoreUnitDynamic10242,2986062228
619623708,ChemicalIndustryEfficiency,3549092084
3181525292,MediumRailgunAction,3549092084
584210868,ChemicalIndustryEfficiencyHandling,3549092084
2774991487,LargeCannonTelemetry,3549092084
3853725374,MediumCannonAgility,3549092084
1113363473,ExoticProductRefinery,3549092084
2936516725,ExoticSystemsElementIndustryEfficiency,3549092084
2024295849,ExtraSmallCannonAction,3549092084
3504080976,LithiumOreRefining,3549092084
1113027630,MediumLaserManeuvering,3549092084
2803325319,ExtraSmallAmmoCone,3549092084
1341181276,ExtraSmallCannonManeuvering,3549092084
2528131889,BasicStructuralPartExpertise,3549092084
613962105,ExtraSmallAmmoElectromagneticDamage,3549092084
2711876665,LargeMissileActionHandling,3549092084
2987635362,Athletics,3549092084
3995227227,ExtraSmallLaserTelemetryHandling,3549092084
669995690,LargeMissileAgility,3549092084
4067341866,LargeRadarTargettingSpecialization,3549092084
490660237,MediumLaserManeuveringHandling,3549092084
2830145764,GoldCoatedGlassProductProductivity,3549092084
3320186789,LargeMissileAgilityHandling,3549092084
618565297,CoreUnitStatic40965,4056378669
1872192975,AtmosphericEngineHandling,3549092084
1424140301,ExtraSmallMissileAction,3549092084
256981757,GoldCoatedGlassProductRefining,3549092084
3195006313,MediumAmmoAntimatterDamage,3549092084
4082148909,RetroEngineHandlingThrustControl,3549092084
2923791558,CoreUnitDynamic10243,2986062228
1971837590,ChromiumHoneycombProductivity,3549092084
2360448947,RocketBoosterFuelEfficiency,3549092084
1603025588,BasicSystemsElementHealthpointHandling,3549092084
1996753564,FlightElementHandling,3549092084
1610477456,GoldHoneycombRefining,3549092084
1508271760,MediumLaserOperationsHandling,3549092084
1234588667,ExtraSmallAmmoKineticDamage,3549092084
3760454884,LargeMissileCapacityHandling,3549092084
1010173115,MiningOptimization,3549092084
2177738306,AtmosphericEngineThrustControl,3549092084
2774690643,MediumLaserProficiency,3549092084
2897485795,IronHoneycombRefining,3549092084
2100498964,LargeMissileManeuveringHandling,3549092084
524285885,FeaturesList,2287347360
