
AmmoCannonExtraSmallKineticAdvancedAgile,200000000,2.42,0,1.21
AmmoCannonExtraSmallKineticAdvancedDefense,200000000,2.39,0,1.2
AmmoCannonExtraSmallKineticAdvancedHeavy,200000000,2.6,0,1.3
AmmoCannonExtraSmallKineticAdvancedPrecision,200000000,2.43,0,1.22
AmmoCannonExtraSmallKineticUncommon,200000000,1.85,0,0.92
AmmoCannonExtraSmallThermicAdvancedAgile,200000000,1.6,0,0.8
AmmoCannonExtraSmallThermicAdvancedDefense,200000000,1.58,0,0.79
AmmoCannonExtraSmallThermicAdvancedHeavy,200000000,1.78,0,0.89
AmmoCannonExtraSmallThermicAdvancedPrecision,200000000,1.62,0,0.81
AmmoCannonExtraSmallThermicUncommon,200000000,1.21,0,0.6
AmmoCannonLargeKineticAdvancedAgile,200000000,181,0,90.5
AmmoCannonLargeKineticAdvancedDefense,200000000,181,0,90.5
AmmoCannonLargeKineticAdvancedHeavy,200000000,184,0,92
AmmoCannonLargeKineticAdvancedPrecision,200000000,181,0,90.5
AmmoCannonLargeKineticUncommon,200000000,147,0,73.5
AmmoCannonLargeThermicAdvancedAgile,200000000,171,0,85.5
AmmoCannonLargeThermicAdvancedDefense,200000000,171,0,85.5
AmmoCannonLargeThermicAdvancedHeavy,200000000,173,0,86.5
AmmoCannonLargeThermicAdvancedPrecision,200000000,171,0,85.5
AmmoCannonLargeThermicUncommon,200000000,139,0,69.5
AmmoCannonMediumKineticAdvancedAgile,200000000,30.93,0,15.46
AmmoCannonMediumKineticAdvancedDefense,200000000,30.79,0,15.4
AmmoCannonMediumKineticAdvancedHeavy,200000000,31.94,0,15.97
AmmoCannonMediumKineticAdvancedPrecision,200000000,31,0,15.5
AmmoCannonMediumKineticUncommon,200000000,24.63,0,12.32
AmmoCannonMediumThermicAdvancedAgile,200000000,26.4,0,13.2
AmmoCannonMediumThermicAdvancedDefense,200000000,26.25,0,13.12
AmmoCannonMediumThermicAdvancedHeavy,200000000,27.4,0,13.7
AmmoCannonMediumThermicAdvancedPrecision,200000000,26.46,0,13.23
AmmoCannonMediumThermicUncommon,200000000,21.08,0,10.54
AmmoCannonSmallKineticAdvancedAgile,200000000,7.38,0,3.69
AmmoCannonSmallKineticAdvancedDefense,200000000,7.33,0,3.66
AmmoCannonSmallKineticAdvancedHeavy,200000000,7.81,0,3.9
AmmoCannonSmallKineticAdvancedPrecision,200000000,7.4,0,3.7
AmmoCannonSmallKineticUncommon,200000000,5.73,0,2.86
AmmoCannonSmallThermicAdvancedAgile,200000000,5.44,0,2.72
AmmoCannonSmallThermicAdvancedDefense,200000000,5.38,0,2.69
AmmoCannonSmallThermicAdvancedHeavy,200000000,5.87,0,2.94
AmmoCannonSmallThermicAdvancedPrecision,200000000,5.45,0,2.72
AmmoCannonSmallThermicUncommon,200000000,4.22,0,2.11
AmmoLaserExtraSmallElectromagneticAdvancedAgile,200000000,2.34,0,1.17
AmmoLaserExtraSmallElectromagneticAdvancedDefense,200000000,2.31,0,1.16
AmmoLaserExtraSmallElectromagneticAdvancedHeavy,200000000,2.52,0,1.26
AmmoLaserExtraSmallElectromagneticAdvancedPrecision,200000000,2.34,0,1.17
AmmoLaserExtraSmallElectromagneticUncommon,200000000,1.75,0,0.88
AmmoLaserExtraSmallThermicAdvancedAgile,200000000,1.01,0,0.5
AmmoLaserExtraSmallThermicAdvancedDefense,200000000,0.98,0,0.49
AmmoLaserExtraSmallThermicAdvancedHeavy,200000000,1.18,0,0.59
AmmoLaserExtraSmallThermicAdvancedPrecision,200000000,1.01,0,0.5
AmmoLaserExtraSmallThermicUncommon,200000000,0.72,0,0.36
AmmoLaserLargeElectromagneticAdvancedAgile,200000000,47.45,0,23.72
AmmoLaserLargeElectromagneticAdvancedDefense,200000000,47.09,0,23.54
AmmoLaserLargeElectromagneticAdvancedHeavy,200000000,49.75,0,24.88
AmmoLaserLargeElectromagneticAdvancedPrecision,200000000,47.54,0,23.77
AmmoLaserLargeElectromagneticUncommon,200000000,35.9,0,17.95
AmmoLaserLargeThermicAdvancedAgile,200000000,30.36,0,15.18
AmmoLaserLargeThermicAdvancedDefense,200000000,30.02,0,15.01
AmmoLaserLargeThermicAdvancedHeavy,200000000,32.66,0,16.33
AmmoLaserLargeThermicAdvancedPrecision,200000000,30.48,0,15.24
AmmoLaserLargeThermicUncommon,200000000,22.68,0,11.34
AmmoLaserMediumElectromagneticAdvancedAgile,200000000,15.1,0,7.55
AmmoLaserMediumElectromagneticAdvancedDefense,200000000,14.95,0,7.48
AmmoLaserMediumElectromagneticAdvancedHeavy,200000000,16.11,0,8.06
AmmoLaserMediumElectromagneticAdvancedPrecision,200000000,15.16,0,7.58
AmmoLaserMediumElectromagneticUncommon,200000000,11.39,0,5.7
AmmoLaserMediumThermicAdvancedAgile,200000000,7.64,0,3.82
AmmoLaserMediumThermicAdvancedDefense,200000000,7.48,0,3.74
AmmoLaserMediumThermicAdvancedHeavy,200000000,8.65,0,4.32
AmmoLaserMediumThermicAdvancedPrecision,200000000,7.69,0,3.84
AmmoLaserMediumThermicUncommon,200000000,5.61,0,2.8
AmmoLaserSmallElectromagneticAdvancedAgile,200000000,5.78,0,2.89
AmmoLaserSmallElectromagneticAdvancedDefense,200000000,5.72,0,2.86
AmmoLaserSmallElectromagneticAdvancedHeavy,200000000,6.21,0,3.1
AmmoLaserSmallElectromagneticAdvancedPrecision,200000000,5.81,0,2.9
AmmoLaserSmallElectromagneticUncommon,200000000,4.36,0,2.18
AmmoLaserSmallThermicAdvancedAgile,200000000,2.59,0,1.3
AmmoLaserSmallThermicAdvancedDefense,200000000,2.52,0,1.26
AmmoLaserSmallThermicAdvancedHeavy,200000000,3.02,0,1.51
AmmoLaserSmallThermicAdvancedPrecision,200000000,2.61,0,1.3
AmmoLaserSmallThermicUncommon,200000000,1.89,0,0.94
AmmoMissileExtraSmallAntimatterAdvancedAgile,200000000,1.41,0,0.7
AmmoMissileExtraSmallAntimatterAdvancedDefense,200000000,1.38,0,0.69
AmmoMissileExtraSmallAntimatterAdvancedHeavy,200000000,1.59,0,0.8
AmmoMissileExtraSmallAntimatterAdvancedPrecision,200000000,1.42,0,0.71
AmmoMissileExtraSmallAntimatterUncommon,200000000,1.04,0,0.52
AmmoMissileExtraSmallKineticAdvancedAgile,200000000,2.06,0,1.03
AmmoMissileExtraSmallKineticAdvancedDefense,200000000,2.03,0,1.01
AmmoMissileExtraSmallKineticAdvancedHeavy,200000000,2.24,0,1.12
AmmoMissileExtraSmallKineticAdvancedPrecision,200000000,2.07,0,1.03
AmmoMissileExtraSmallKineticUncommon,200000000,1.55,0,0.78
AmmoMissileLargeAntimatterAdvancedAgile,200000000,66.1,0,33.05
AmmoMissileLargeAntimatterAdvancedDefense,200000000,65.76,0,32.88
AmmoMissileLargeAntimatterAdvancedHeavy,200000000,68.4,0,34.2
